"Otras Entidades del Sector Público","Fundación para el Desarrollo de la Investigación en Genómica y Proteómica","Dirección General de la Fundación para el Desarrollo de la Investigación en Genómica y Proteómica",G83164673,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2BnVT1IwkGSU%3D,"Orense 69, 2ª planta",28020,Madrid,España,914491250,915715489,gustavo.garcia@gen-es.org
"Otras Entidades del Sector Público","Fundación para la Cooperación  y Salud Internacional Carlos III","Dirección General de la Fundación para la Cooperación  y Salud Internacional Carlos III",G82596701,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=4lhzg%2BRWZr4%3D,"Sinesio Delgado 6",28029,Madrid,España,918222960,918222968,csai@fcsai.es
"Otras Entidades del Sector Público","Fundación Parque Científico de Madrid","Dirección General de la Fundación Parque Científico de Madrid",G83077891,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=mh53heoZ9sk%3D,"Einstein, 13 1ª Pabellón C -Campus de Cantoblanco-",28049,Madrid,España,914972400,914972401,contratacion@fpcm.es
"Administración General del Estado","Ministerio de Fomento","Dirección General de la Marina Mercante",S2829008H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=6kuuCC6vQk0%3D,"Ruiz de Alarcón nº 1",28071,Madrid,España,915979264,915217532,cavendano@fomento.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Dirección General de las Familias y la Infancia",S2818001F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=pLs86fIDHJI%3D,"Pº Castellana 67",28046,Madrid,España,913638151,913638120,pilar.guerrero@mepsyd.es
"Otras Entidades del Sector Público","MAZ M.A.T.E.P.S.S Nº11 Mútua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social nº  11","Dirección General de MAZ Mútua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social n&ordm;  11",G50005321,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=hWIh5W7e6YA%3D,"Avda. Academia General Militar, 74",50015,Zaragoza,España,976748011,976748102,contratacion@maz.es
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Dirección General de Medio Natural y Política Forestal",S2800624E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Bydjw5PJT44%3D,"Rios Rosas, 24",28003,Madrid,España,917493691,913475606,jjurado@mma.es
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Dirección General de Ordenación Pesquera",S2823002G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=IaTYEPBI2fI%3D,"Velázquez, 144",28071,Madrid,España,913476050,,igandarias@marm.es
"Administración General del Estado","Ministerio de Cultura","Dirección General de Política e Industrias Culturales",S2800557G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=1BkkfgyAn8w%3D,"Plaza del Rey, 1",28004,Madrid,España,917017325,917017364,mercedes.morales@mcu.es
"Administración General del Estado","Ministerio del Interior","Dirección General de Política Interior",S2816013C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=7FEhDCynugE%3D,"Amador de los Ríos 7",28010,Madrid,España,915371157,915371463,contratacion_elecciones@mir.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Dirección General de Política Social",S2818001F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=u5vTwNNYRAQ%3D,"Pº Castellana 67",28046,Madrid,España,913637486,913637458,mangeles.pardo@mepsyd.es
"Administración General del Estado","Ministerio de Educación","Dirección General de Política Universitaria",S2818001F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=6dtGCeVtQ8E%3D,"Ramírez de Arellano, 29",28027,Madrid,España,916037668,916037027,yolanda.carrasco@educacion.es
"Otras Entidades del Sector Público","PROEIXAMPLE, S.A.","Dirección General de PROEIXAMPLE, S.A.",A61139762,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=9Fsf1pV%2FH2k%3D,"Valencia, 307 1º 2ª",08009,Barcelona,España,934766850,934575148,cblasco@proeixample.cat
"Administración General del Estado","Ministerio de Fomento","Dirección General de Programación Económica y Presupuestos",Q2801287J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=iZGWJJX6XoA%3D,"Paseo de la Castellana 67",28071,Madrid,España,915975235,915978521,ctarrero@fomento.es
"Administración General del Estado","Ministerio del Interior","Dirección General de Protección Civil y Emergencias",S2816016F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=p0%2BXpWGsaDo%3D,"c/ Quintiliano 21",28002,Madrid,España,915373100,915628926,contratos@procivil.mir.es
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Dirección General de Recursos Agrícolas y Ganaderos",S2800556I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=bGydvw588uc%3D,"Alfonso XII, 62",28071,Madrid,España,913476607,913475883,jortizde@mapa.es
"Administración General del Estado","Ministerio de la Presidencia","Dirección General de Recursos Humanos, Servicios e Infraestructura",S2811001C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=zVGVWXZr9FM%3D,"Avda Puerta Hierro sn",28071,Madrid,España,913353182,913353186,sgge@mpr.es
"Administración General del Estado","Ministerio de Sanidad y Consumo","Dirección General de Recursos Humanos y Servicios Económico Presupuestarios",S2827001E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=m1%2Bnwo0gKkM%3D,"Pº del Prado 18-20",28071,Madrid,España,915961860,915961858,sgadmfin@msc.es
"Administración General del Estado","Ministerio de Industria, Turismo y Comercio","Dirección General de RED.ES",Q2891006E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=YzklNNbkpHw%3D,"Plaza Manuel Gómez Moreno s/n",28020,Madrid,España,912127620,912016371,sg.contratacion@red.es
"Administración General del Estado","Ministerio de Educación","Dirección General de Relaciones Internacionales",S2800660I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=k8GHkDLr7s0%3D,"Paseo del Prado, 28",28014,Madrid,España,,,elena.oteo@educacion.es
"Administración General del Estado","Ministerio de Fomento","Dirección General de Servicios del Ministerio de Fomento",S2800441D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=NVx%2Fhw1vc9Q%3D,"Pº de la Castellana, 67. 5ª Planta Despacho A-588",28071,Madrid,España,,,cgomez@fomento.es
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Dirección General de Servicios del Ministerio de Medio Ambiente, y Medio Rural y Marino",S2800556I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=xhWVaqZOKV0%3D,"Paseo de Infanta Isabel, 1",28071,Madrid,España,913475258,913475277,jmesadec@mapa.es
"Administración General del Estado","Ministerio de Economía y Hacienda","Dirección General de Servicios y Coordinación Territorial",S2800464F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=zY3z9M515W4%3D,"Alcalé 5-9",28014,Madrid,España,915958176,915958526,esther.blanco@meh.es
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Dirección General de Sostenibilidad de la Costa y del Mar",S2817014J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=mwP8uPqR%2B48%3D,"Plza. San Juan de la Cruz s/n",28071,Madrid,España,915976414,915975913,mrdaimiel@mma.es
"Administración General del Estado","Ministerio de Industria, Turismo y Comercio","Dirección General de Telecomunicaciones",S2829017I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2B%2B%2B%2FyZNAPB4%3D,"Capitán Haya 41",28071,Madrid,España,913461593,913461556,blorenzo@mityc.es
"Administración General del Estado","Ministerio del Interior","Dirección General de Tráfico",Q2816003D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Ss3OJLUcIoQ%3D,"Josefa Valcárcel 28",28071,Madrid,España,,,mdmenendez@dgt.es
"Administración General del Estado","Ministerio de Ciencia e Innovación","Dirección General de Transferencia de Tecnología y Desarrollo Empresarial",S2800568D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=n2mbNNaq5jU%3D,"Albacete, 5",28027,Madrid,España,916038597,916037088,dgpc@micinn.es
"Administración General del Estado","Ministerio de Fomento","Dirección General de Transporte Terrestre",S2800113I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=D0RhKROhukE%3D,"Paseo Castellana 67",28071,Madrid,España,915977294,915978533,falaman@fomento.es
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Dirección General del Agua",S2817039G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=umuYlb9Tbzs%3D,"Plaza de San Juan de la Cruz",28071,Madrid,España,915976743,915975909,garias@mma.es
"Otras Entidades del Sector Público","Canal de Navarra SA","Dirección General del Canal de Navarra SA",A50826189,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=aWzZ5nAhkg0%3D,"General Capaz s/n",50012,Zaragoza,España,976306650,976306660,info@canasa.es
"Administración General del Estado","Ministerio de Economía y Hacienda","Dirección General del Catastro",S2826053G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=OAPLY1abq9Q%3D,"Pº Castellana 272",28046,Madrid,España,,,alejandro.alas@catastro.meh.es
"Administración General del Estado","Ministerio de Ciencia e Innovación","Dirección General del Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT)",Q2820002J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=cT4TgOp82f8%3D,"Avda. Complutense 22",28040,Madrid,España,913466000,913466427,angel.puebla@ciemat.es
"Entidad de Derecho Público","Consorcio para la Gestión del Plan Especial Alto Guadiana","Dirección General del Consorcio para la Gestión del Plan Especial Alto Guadiana",S1300110B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=i6Xpczl8bP4%3D,"Doctor Jesús González Merlo 2",13600,"Alcázar de San Juan",España,926546255,,rrequena@altoguadiana.es
"Administración General del Estado","Ministerio de Cultura","Dirección General del Instituto de Cinematografía y de las Artes Audiovisuales",Q2828017J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=qWblLSsAcVI%3D,"Plaza del Rey 1",28004,Madrid,España,917017183,917017357,joseantonio.trancon@mcu.es
"Administración General del Estado","Ministerio de Igualdad","Dirección General del Instituto de la Mujer",Q2828016B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Ekvkdo0QKok%3D,"c/ Condesa de Venadito 34",28027,Madrid,España,913638013,913638080,florencio.pascual@migualdad.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección General del Instituto de Mayores y Servicios Sociales",Q2827004I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=pO8798iIWdk%3D,"Ginzo de Limia 58 c/v Avda. de la Ilustración s/n",28029,Madrid,España,913638888,913638968,sganalisispresupuestario@imserso.es
"Administración General del Estado","Ministerio de Ciencia e Innovación","Dirección General del Instituto Español de Oceanografía",Q2823001I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=l7DZXv9D30s%3D,"Avda. de Brasil 31",28020,Madrid,España,913421100,915974770,administracion@md.ieo.es
"Administración General del Estado","Ministerio de Fomento","Dirección General del Instituto Geográfico Nacional",S2811003I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=nDifgGRJNT0%3D,"c/ General Ibañez Ibero 3",28071,Madrid,España,915979474,915979752,sgigncontratacion@fomento.es
"Administración General del Estado","Ministerio de Ciencia e Innovación","Dirección General del Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA)",Q2821013F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Gfo%2FOffnKmg%3D,"Carretera de La Coruña Km. 7,5",28040,Madrid,España,913473902,913473597,sdelgado@inia.es
"Administración General del Estado","Ministerio de Cultura","Dirección General del Instituto Nacional de las Artes Escénicas y de la Música",Q2818024H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=mcd6NA28wd8%3D,"Plaza del Rey, 1",28004,Madrid,España,917017000,917017396,elena.heras@inaem.mcu.es
"Otras Entidades del Sector Público","Instituto Nacional de Tecnologías de la Comunicación S.A. (INTECO)","Dirección General del Instituto Nacional de Tecnologías de la Comunicación S.A. (INTECO)",A24530735,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=oW6XAQXT0Bw%3D,"Avenida José Aguado, 41",24005,León,España,987877189,987877189,contratacion@inteco.es
"Administración General del Estado","Ministerio de Industria, Turismo y Comercio","Dirección General del Instituto para la Diversificación y Ahorro de la Energía (IDAE)",Q2820009E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Sh7TDTsiNU0%3D,"Madera 8",28004,Madrid,España,914564944,915230414,440@idae.es
"Administración General del Estado","Ministerio de Defensa","Dirección General del Instituto para la Vivienda de las Fuerzas Armadas (INVIFAS)",Q2830103D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=k9moKa%2FVvqw%3D,"Paseo de la Castellana, 233",28046,Madrid,España,917278141,917278225,jlmorana@oc.mde.es
"Administración General del Estado","Ministerio de Defensa","Dirección General del INTA",Q2822003F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ovftscq8YCw%3D,"Carretera de Ajalvir, Km 4",28850,"Torrejón de Ardoz, Madrid",España,915201776,915201787,torrecn@inta.es
"Administración General del Estado","Ministerio de Cultura","Dirección General del Libro, Archivos y Bibliotecas",S2800189I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=jR3czbupDBs%3D,"Plaza del Rey 1",28004,Madrid,España,917017145,917017390,maria.molina@mcu.es
"Administración General del Estado","Ministerio de Economía y Hacienda","Dirección General del Patrimonio del Estado",S2826002D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=g%2BfM2DCRxmM%3D,"Serrano 35",28001,Madrid,España,915952927,,javier.fernandez@meh.es
"Administración General del Estado","Ministerio de Asuntos Exteriores y Cooperación","Dirección General del Servicio Exterior",S2812001B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=eUxFKO7Wxlk%3D,"Plaza de la Provincia, 1",28012,Madrid,España,913799335,913799336,administracion.financiera@maec.es
"Otras Entidades del Sector Público","LogiRail S.A.","Dirección General LogiRail S.A.",A28944767,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=9hkS3UsyebI%3D,"Agustín de Foxá, 25",28036,Madrid,España,913008077,913007819,vntejedor@renfe.es
"Administración General del Estado","Ministerio de Trabajo e Inmigración","Dirección Gerencia del Centro de Acogida a Refugiados de Mislata",Q4653001J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=CHvNpe0Bl14%3D,"Camino Viejo de Xirivella 2-bis",46920,Mislata,España,,,carmislata@mtin.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Gerente Centro de Atención a Personas con Enfermedad de ALzheimer y otras demencias (Salamanca)",Q3700297I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=grvJE93hRd0%3D,"Cordel de Merinas 118",37008,Salamanca,España,,,dg.imserso@mtas.es
"Entidad de Derecho Público","ASEPEYO Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social 151","Dirección Gerente de ASEPEYO Mútua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social 151",G08215824,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=D0AQPhIWhuc%3D,"Via Augusta, 36",08006,Barcelona,España,932086500,932028326,jguellelies@asepeyo.es
"Comunidad Autónoma","Empresa Pública Sociedad de Servicios del Principado de Asturias (SERPA, S.A.)","Dirección Gerente de la Empresa Pública Sociedad de Servicios del Principado de Asturias (SERPA, S.A.)",A74061177,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=kljsJRZtes4%3D,"La Laboral, C/ Luis Moya Blanco, nº 261, primera planta",33203,Gijón,España,985133316,985338374,serpa@serprin.com
"Administración General del Estado","Ministerio de Industria, Turismo y Comercio","Dirección Gerente de la Fundación Cenatic",G06495386,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=nL%2BRXHj%2FuH4%3D,"C/ Vistahermosa, 1 - 3 Planta",06200,Almendralejo,España,924677316,924666896,rafael.salmoral@cenatic.es
"Administración General del Estado","Ministerio de Industria, Turismo y Comercio","Dirección Gerente de la Fundación Cenatic mancomunada con el Presidente de la Comisión Ejecutiva",G06495386,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=HC0eXe8EotU%3D,"C/ Vistahermosa, 1 - 3 Planta",06200,Almendralejo,España,924677316,924666896,rafael.salmoral@cenatic.es
"Administración General del Estado","Ministerio de Industria, Turismo y Comercio","Dirección Gerente de la Fundación Cenatic mancomunada con un miembro de la Comisión Ejecutiva",G06495386,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=R4nRexTgGro%3D,"C/ Vistahermosa, 1 - 3 Planta",06200,Almendralejo,España,924677316,924666896,rafael.salmoral@cenatic.es
"Administración General del Estado","Ministerio de Defensa","Dirección Gerente de la Gerencia de Infraestructura y Equipamiento de la Defensa",Q2830010A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=UQp29ZGU%2FlQ%3D,"Princesa, 36",28008,Madrid,España,915489819,915489933,gied2000@gied.es
"Otras Entidades del Sector Público","Sociedad de Fomento e Inversiones de Tenerife, S.A. (SOFITESA)","Dirección Gerente de la Sociedad de Fomento e Inversiones de Tenerife, S.A. (SOFITESA)",A38526547,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=SEFjXLUP9mU%3D,"Centro Internacional de Ferias y Congresos. Avenida de la Constitución, 12 bajo",38005,"Santa Cruz de Tenerife",España,922209220,922209209,rlucia@sofitesa.com
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Gerente del Centro de Atención a Minusválidos Físicos de Leganés (IMSERSO-CAMF)",Q2803004G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Eq3sA8lPWQA%3D,"Avda. de Alemania 14",28916,Leganés,España,916862711,916805020,camf.leganes@mtas.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Gerente del Centro de Atención a Minusválidos Físicos de Pozoblanco (Córdoba) del IMSERSO (CAMF- IMSERSO)",Q1403001I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=HUVuQuar%2Bsk%3D,"Ctra. Circunvalación s/n",14400,"Pozoblanco (Córdoba)",España,957771561,957771751,camf.pozoblanco@imserso.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Gerente del Centro de Recuperación de Minusválidos Físicos de Madrid",Q2803010D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=UoQA11AMJ9k%3D,"c/ Camino Valderribas, 11-113",28038,Madrid,España,914781011,914789023,azucenasancho@mtas.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Gerente del Centro de Recuperación de Personas con Discapacidad Física (IMSERSO) Albacete",Q0269002B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=TeWfGat5sjE%3D,"Jesús del Gran Poder, 1",02006,Albacete,España,967216501,967216637,crmf.albacete@imsereso.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Gerente del Centro de Recuperación de Personas con Discapacidad Física (IMSERSO) Cádiz",Q1169005D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=H4yQcAEiV%2BU%3D,"Pintor Fdez. Vela s/n",11100,"San Fernando",España,956487950,956487954,crmf.sanfernando@mtas.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Gerente del Centro de Recuperación de Personas con Discapacidad Física (IMSERSO) Lardero",Q2669009I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=FdEaZ3%2FFFv8%3D,"Donantes de Sangre, 4",26140,"Lardero, La Rioja",España,941448113,941449015,crmf.lardero@imserso.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Dirección Gerente del Centro de Recuperación de Personas con Discapacidad Física (IMSERSO) Salamanca",Q3769008H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=xWRusrtQ%2FeA%3D,"Avda. Villamayor 79-85",37007,Salamanca,España,923234850,923121892,crmf.salamanca@imserso.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Gerente del Centro de Recuperación Discapacidad y Dependencia (IMSERSO) San Andrés del Rabanedo ",S2400020J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=xS%2BuO0YIYik%3D,"Limonar de Cuba, S/N",24010,"San Andrés del Rabanedo, León",España,987843300,987843359,nuriamendoza@mtas.es
"Administración General del Estado","Ministerio de Defensa","Dirección Gerente del Servicio Militar de Construcciones",Q2814008E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ZgWl6xZWZVU%3D,"Alejandro Dumas, 11",28005,Madrid,España,913664400,913661833,jgutmat@oc.mde.es
"Administración General del Estado","Ministerio de la Presidencia","Dirección Insular de la Administración General del Estado en Fuerteventura",S3516004C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=uoQXBBoxi9A%3D,"Primero de Mayo, 64",35600,"Puerto del Rosario",España,928993000,928851206,agedire_fuerteventura.laspalmas@map.es
"Administración General del Estado","Ministerio de la Presidencia","Dirección Insular de la Administración General del Estado en Ibiza y Formentera",S0716002A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=RbmMcTFVfbo%3D,"Pº Juan Carlos I, S/N (Casa del Mar)",07800,Eivissa,España,971989055,971317154,mmargarita.monjo@map.es
"Administración General del Estado","Ministerio de la Presidencia","Dirección Insular de la Administración General del Estado en La Palma",S3816003B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=PJXfy5c1Sqo%3D,"Avenida Maritima, 2",38700,"Santa Cruz de La Palma",España,922993008,922416443,alejandroj.brito@map.es
"Administración General del Estado","Ministerio de la Presidencia","Dirección Insular de la Administración General del Estado en Lanzarote",S3516003E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=czXIySiEA6o%3D,"Blas Cabrera Infante 6",35500,"Arrecife de Lanzarote",España,928991000,928815315,agedire_lanzarote.laspalmas@map.es
"Administración General del Estado","Ministerio de la Presidencia","Dirección Insular de la Administración General del Estado en Menorca",S0716003I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=SAy%2FSQ3fXqs%3D,"Plaza Miranda 22",07701,Mahón,España,971989280,971353737,personal_oiac.menorca@map.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Dirección Provincial de Educación, Política Social y Deporte en Ceuta",S1118002C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=rMu0Bqcnres%3D,"c/ Echegaray s/n",51001,Ceuta,España,956516640,956511872,pcc.jfseccion@ceuta.mec.es
"Administración General del Estado","Ministerio de Trabajo e Inmigración","Dirección Provincial de la Tesorería General de la Seguridad Social en Las Palmas Gran Canaria",Q3519006E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=D8FNSmf89CU%3D,"Pérez del Toro, 89",35004,"Las Palmas de Gran Canaria",España,928440565,928440593,laspalmas.secretaria@tgss.seg-social.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Dirección Provincial del Ministerio de Educación, Politica Social y Deporte en Melilla",S2918002C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=nI8wSmqk3pw%3D,"Cervantes 6",52001,Melilla,España,952690741,952683432,contratacion@melilla.mepsyd.es
"Otras Entidades del Sector Público","Aguas del Añarbe-Añarbeko Urak, S.A.","Dirección Técnica de Aguas del Añarbe-Añarbeko Urak, S.A.",A20538039,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=53dG5cGmxxs%3D,"Paseo Errotaburu, 1-6º",20018,"Donostia-San Sebastián",España,943213199,943216017,oficinas@agasa.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Territorial del Instituto de mayores y Servicios Sociales (IMSERSO) en Ceuta",Q1119006C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=vFc7Z7g7Q%2FM%3D,"Avda. de África s/n",51002,Ceuta,España,956522907,956504440,dpceuta@imserso.es
"Administración General del Estado","Ministerio de Sanidad y Consumo","Dirección Territorial del instituto Nacional de Gestión Sanitaria en Melilla",Q2927004H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ey3E3LPzbmY%3D,"Plaza del Mar, Edif. V Centenario. Torre Norte, planta 11",52001,Melilla,España,,,secter@dtme.insalud.es
"Administración General del Estado","Ministerio de Sanidad y Política Social","Dirección Territorialde Instituto de Mayores y Servicios Sociales (IMSERSO) en Melilla",Q2919009G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=r7YpkrJqMPg%3D,"Querol,31",52004,Melilla,España,952673314,952672608,dpmelilla@imserso.es
"Otras Entidades del Sector Público","FREMAP, Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social","Director Gerente de FREMAP",G28207017,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Rs4EFuSeMgI%3D,"Ctra. de Pozuelo, 61",28220,"Majadahonda (Madrid)",España,,,licitaciones@fremap.es
"Otras Entidades del Sector Público","Mutua Intercomarcal MATEPSS Nº 39","Director Gerente de Mutua Intercomarcal MATEPSS N&ordm; 39",G60328796,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=K6fPqwOu%2Fc4%3D,"Avda. Icaria esquina Joan Miró",08006,Barcelona,España,934867400,934867428,gmarquez@mutua-intercomarcal.com
